  1: n = 100, k =  5, nl = 2
  2: n = 100, k =  5, nl = 2
  3: n = 100, k =  5, nl = 2
  4: n = 100, k =  5, nl = 2
  5: n = 100, k =  5, nl = 2
  6: n = 100, k =  5, nl = 2
  7: n = 100, k =  5, nl = 2
  8: n = 100, k =  5, nl = 2
  9: n = 100, k =  5, nl = 2
 10: n = 100, k =  5, nl = 2
 11: n = 100, k =  5, nl = 4
 12: n = 100, k =  5, nl = 4
 13: n = 100, k =  5, nl = 4
 14: n = 100, k =  5, nl = 4
 15: n = 100, k =  5, nl = 4
 16: n = 100, k =  5, nl = 4
 17: n = 100, k =  5, nl = 4
 18: n = 100, k =  5, nl = 4
 19: n = 100, k =  5, nl = 4
 20: n = 100, k =  5, nl = 4
 21: n = 100, k =  5, nl = 8
 22: n = 100, k =  5, nl = 8
 23: n = 100, k =  5, nl = 8
 24: n = 100, k =  5, nl = 8
 25: n = 100, k =  5, nl = 8
 26: n = 100, k =  5, nl = 8
 27: n = 100, k =  5, nl = 8
 28: n = 100, k =  5, nl = 8
 29: n = 100, k =  5, nl = 8
 30: n = 100, k =  5, nl = 8
 31: n = 100, k =  5, nl = 16
 32: n = 100, k =  5, nl = 16
 33: n = 100, k =  5, nl = 16
 34: n = 100, k =  5, nl = 16
 35: n = 100, k =  5, nl = 16
 36: n = 100, k =  5, nl = 16
 37: n = 100, k =  5, nl = 16
 38: n = 100, k =  5, nl = 16
 39: n = 100, k =  5, nl = 16
 40: n = 100, k =  5, nl = 16
 41: n = 100, k = 10, nl = 2
 42: n = 100, k = 10, nl = 2
 43: n = 100, k = 10, nl = 2
 44: n = 100, k = 10, nl = 2
 45: n = 100, k = 10, nl = 2
 46: n = 100, k = 10, nl = 2
 47: n = 100, k = 10, nl = 2
 48: n = 100, k = 10, nl = 2
 49: n = 100, k = 10, nl = 2
 50: n = 100, k = 10, nl = 2
 51: n = 100, k = 10, nl = 4
 52: n = 100, k = 10, nl = 4
 53: n = 100, k = 10, nl = 4
 54: n = 100, k = 10, nl = 4
 55: n = 100, k = 10, nl = 4
 56: n = 100, k = 10, nl = 4
 57: n = 100, k = 10, nl = 4
 58: n = 100, k = 10, nl = 4
 59: n = 100, k = 10, nl = 4
 60: n = 100, k = 10, nl = 4
 61: n = 100, k = 10, nl = 8
 62: n = 100, k = 10, nl = 8
 63: n = 100, k = 10, nl = 8
 64: n = 100, k = 10, nl = 8
 65: n = 100, k = 10, nl = 8
 66: n = 100, k = 10, nl = 8
 67: n = 100, k = 10, nl = 8
 68: n = 100, k = 10, nl = 8
 69: n = 100, k = 10, nl = 8
 70: n = 100, k = 10, nl = 8
 71: n = 100, k = 10, nl = 16
 72: n = 100, k = 10, nl = 16
 73: n = 100, k = 10, nl = 16
 74: n = 100, k = 10, nl = 16
 75: n = 100, k = 10, nl = 16
 76: n = 100, k = 10, nl = 16
 77: n = 100, k = 10, nl = 16
 78: n = 100, k = 10, nl = 16
 79: n = 100, k = 10, nl = 16
 80: n = 100, k = 10, nl = 16
 81: n = 100, k = 15, nl = 2
 82: n = 100, k = 15, nl = 2
 83: n = 100, k = 15, nl = 2
 84: n = 100, k = 15, nl = 2
 85: n = 100, k = 15, nl = 2
 86: n = 100, k = 15, nl = 2
 87: n = 100, k = 15, nl = 2
 88: n = 100, k = 15, nl = 2
 89: n = 100, k = 15, nl = 2
 90: n = 100, k = 15, nl = 2
 91: n = 100, k = 15, nl = 4
 92: n = 100, k = 15, nl = 4
 93: n = 100, k = 15, nl = 4
 94: n = 100, k = 15, nl = 4
 95: n = 100, k = 15, nl = 4
 96: n = 100, k = 15, nl = 4
 97: n = 100, k = 15, nl = 4
 98: n = 100, k = 15, nl = 4
 99: n = 100, k = 15, nl = 4
100: n = 100, k = 15, nl = 4
101: n = 100, k = 15, nl = 8
102: n = 100, k = 15, nl = 8
103: n = 100, k = 15, nl = 8
104: n = 100, k = 15, nl = 8
105: n = 100, k = 15, nl = 8
106: n = 100, k = 15, nl = 8
107: n = 100, k = 15, nl = 8
108: n = 100, k = 15, nl = 8
109: n = 100, k = 15, nl = 8
110: n = 100, k = 15, nl = 8
111: n = 100, k = 15, nl = 16
112: n = 100, k = 15, nl = 16
113: n = 100, k = 15, nl = 16
114: n = 100, k = 15, nl = 16
115: n = 100, k = 15, nl = 16
116: n = 100, k = 15, nl = 16
117: n = 100, k = 15, nl = 16
118: n = 100, k = 15, nl = 16
119: n = 100, k = 15, nl = 16
120: n = 100, k = 15, nl = 16
121: n = 200, k =  5, nl = 2
122: n = 200, k =  5, nl = 2
123: n = 200, k =  5, nl = 2
124: n = 200, k =  5, nl = 2
125: n = 200, k =  5, nl = 2
126: n = 200, k =  5, nl = 2
127: n = 200, k =  5, nl = 2
128: n = 200, k =  5, nl = 2
129: n = 200, k =  5, nl = 2
130: n = 200, k =  5, nl = 2
131: n = 200, k =  5, nl = 4
132: n = 200, k =  5, nl = 4
133: n = 200, k =  5, nl = 4
134: n = 200, k =  5, nl = 4
135: n = 200, k =  5, nl = 4
136: n = 200, k =  5, nl = 4
137: n = 200, k =  5, nl = 4
138: n = 200, k =  5, nl = 4
139: n = 200, k =  5, nl = 4
140: n = 200, k =  5, nl = 4
141: n = 200, k =  5, nl = 8
142: n = 200, k =  5, nl = 8
143: n = 200, k =  5, nl = 8
144: n = 200, k =  5, nl = 8
145: n = 200, k =  5, nl = 8
146: n = 200, k =  5, nl = 8
147: n = 200, k =  5, nl = 8
148: n = 200, k =  5, nl = 8
149: n = 200, k =  5, nl = 8
150: n = 200, k =  5, nl = 8
151: n = 200, k =  5, nl = 16
152: n = 200, k =  5, nl = 16
153: n = 200, k =  5, nl = 16
154: n = 200, k =  5, nl = 16
155: n = 200, k =  5, nl = 16
156: n = 200, k =  5, nl = 16
157: n = 200, k =  5, nl = 16
158: n = 200, k =  5, nl = 16
159: n = 200, k =  5, nl = 16
160: n = 200, k =  5, nl = 16
161: n = 200, k = 10, nl = 2
162: n = 200, k = 10, nl = 2
163: n = 200, k = 10, nl = 2
164: n = 200, k = 10, nl = 2
165: n = 200, k = 10, nl = 2
166: n = 200, k = 10, nl = 2
167: n = 200, k = 10, nl = 2
168: n = 200, k = 10, nl = 2
169: n = 200, k = 10, nl = 2
170: n = 200, k = 10, nl = 2
171: n = 200, k = 10, nl = 4
172: n = 200, k = 10, nl = 4
173: n = 200, k = 10, nl = 4
174: n = 200, k = 10, nl = 4
175: n = 200, k = 10, nl = 4
176: n = 200, k = 10, nl = 4
177: n = 200, k = 10, nl = 4
178: n = 200, k = 10, nl = 4
179: n = 200, k = 10, nl = 4
180: n = 200, k = 10, nl = 4
181: n = 200, k = 10, nl = 8
182: n = 200, k = 10, nl = 8
183: n = 200, k = 10, nl = 8
184: n = 200, k = 10, nl = 8
185: n = 200, k = 10, nl = 8
186: n = 200, k = 10, nl = 8
187: n = 200, k = 10, nl = 8
188: n = 200, k = 10, nl = 8
189: n = 200, k = 10, nl = 8
190: n = 200, k = 10, nl = 8
191: n = 200, k = 10, nl = 16
192: n = 200, k = 10, nl = 16
193: n = 200, k = 10, nl = 16
194: n = 200, k = 10, nl = 16
195: n = 200, k = 10, nl = 16
196: n = 200, k = 10, nl = 16
197: n = 200, k = 10, nl = 16
198: n = 200, k = 10, nl = 16
199: n = 200, k = 10, nl = 16
200: n = 200, k = 10, nl = 16
201: n = 200, k = 15, nl = 2
202: n = 200, k = 15, nl = 2
203: n = 200, k = 15, nl = 2
204: n = 200, k = 15, nl = 2
205: n = 200, k = 15, nl = 2
206: n = 200, k = 15, nl = 2
207: n = 200, k = 15, nl = 2
208: n = 200, k = 15, nl = 2
209: n = 200, k = 15, nl = 2
210: n = 200, k = 15, nl = 2
211: n = 200, k = 15, nl = 4
212: n = 200, k = 15, nl = 4
213: n = 200, k = 15, nl = 4
214: n = 200, k = 15, nl = 4
215: n = 200, k = 15, nl = 4
216: n = 200, k = 15, nl = 4
217: n = 200, k = 15, nl = 4
218: n = 200, k = 15, nl = 4
219: n = 200, k = 15, nl = 4
220: n = 200, k = 15, nl = 4
221: n = 200, k = 15, nl = 8
222: n = 200, k = 15, nl = 8
223: n = 200, k = 15, nl = 8
224: n = 200, k = 15, nl = 8
225: n = 200, k = 15, nl = 8
226: n = 200, k = 15, nl = 8
227: n = 200, k = 15, nl = 8
228: n = 200, k = 15, nl = 8
229: n = 200, k = 15, nl = 8
230: n = 200, k = 15, nl = 8
231: n = 200, k = 15, nl = 16
232: n = 200, k = 15, nl = 16
233: n = 200, k = 15, nl = 16
234: n = 200, k = 15, nl = 16
235: n = 200, k = 15, nl = 16
236: n = 200, k = 15, nl = 16
237: n = 200, k = 15, nl = 16
238: n = 200, k = 15, nl = 16
239: n = 200, k = 15, nl = 16
240: n = 200, k = 15, nl = 16
241: n = 400, k =  5, nl = 2.000000e+00
242: n = 400, k =  5, nl = 2.000000e+00
243: n = 400, k =  5, nl = 2.000000e+00
244: n = 400, k =  5, nl = 2.000000e+00
245: n = 400, k =  5, nl = 2.000000e+00
246: n = 400, k =  5, nl = 2.000000e+00
247: n = 400, k =  5, nl = 2.000000e+00
248: n = 400, k =  5, nl = 2.000000e+00
249: n = 400, k =  5, nl = 2.000000e+00
250: n = 400, k =  5, nl = 2.000000e+00
251: n = 400, k =  5, nl = 4.000000e+00
252: n = 400, k =  5, nl = 4.000000e+00
253: n = 400, k =  5, nl = 4.000000e+00
254: n = 400, k =  5, nl = 4.000000e+00
255: n = 400, k =  5, nl = 4.000000e+00
256: n = 400, k =  5, nl = 4.000000e+00
257: n = 400, k =  5, nl = 4.000000e+00
258: n = 400, k =  5, nl = 4.000000e+00
259: n = 400, k =  5, nl = 4.000000e+00
260: n = 400, k =  5, nl = 4.000000e+00
261: n = 400, k =  5, nl = 8.000000e+00
262: n = 400, k =  5, nl = 8.000000e+00
263: n = 400, k =  5, nl = 8.000000e+00
264: n = 400, k =  5, nl = 8.000000e+00
265: n = 400, k =  5, nl = 8.000000e+00
266: n = 400, k =  5, nl = 8.000000e+00
267: n = 400, k =  5, nl = 8.000000e+00
268: n = 400, k =  5, nl = 8.000000e+00
269: n = 400, k =  5, nl = 8.000000e+00
270: n = 400, k =  5, nl = 8.000000e+00
271: n = 400, k =  5, nl = 1.600000e+01
272: n = 400, k =  5, nl = 1.600000e+01
273: n = 400, k =  5, nl = 1.600000e+01
274: n = 400, k =  5, nl = 1.600000e+01
275: n = 400, k =  5, nl = 1.600000e+01
276: n = 400, k =  5, nl = 1.600000e+01
277: n = 400, k =  5, nl = 1.600000e+01
278: n = 400, k =  5, nl = 1.600000e+01
279: n = 400, k =  5, nl = 1.600000e+01
280: n = 400, k =  5, nl = 1.600000e+01
281: n = 400, k = 10, nl = 2.000000e+00
282: n = 400, k = 10, nl = 2.000000e+00
283: n = 400, k = 10, nl = 2.000000e+00
284: n = 400, k = 10, nl = 2.000000e+00
285: n = 400, k = 10, nl = 2.000000e+00
286: n = 400, k = 10, nl = 2.000000e+00
287: n = 400, k = 10, nl = 2.000000e+00
288: n = 400, k = 10, nl = 2.000000e+00
289: n = 400, k = 10, nl = 2.000000e+00
290: n = 400, k = 10, nl = 2.000000e+00
291: n = 400, k = 10, nl = 4.000000e+00
292: n = 400, k = 10, nl = 4.000000e+00
293: n = 400, k = 10, nl = 4.000000e+00
294: n = 400, k = 10, nl = 4.000000e+00
295: n = 400, k = 10, nl = 4.000000e+00
296: n = 400, k = 10, nl = 4.000000e+00
297: n = 400, k = 10, nl = 4.000000e+00
298: n = 400, k = 10, nl = 4.000000e+00
299: n = 400, k = 10, nl = 4.000000e+00
300: n = 400, k = 10, nl = 4.000000e+00
301: n = 400, k = 10, nl = 8.000000e+00
302: n = 400, k = 10, nl = 8.000000e+00
303: n = 400, k = 10, nl = 8.000000e+00
304: n = 400, k = 10, nl = 8.000000e+00
305: n = 400, k = 10, nl = 8.000000e+00
306: n = 400, k = 10, nl = 8.000000e+00
307: n = 400, k = 10, nl = 8.000000e+00
308: n = 400, k = 10, nl = 8.000000e+00
309: n = 400, k = 10, nl = 8.000000e+00
310: n = 400, k = 10, nl = 8.000000e+00
311: n = 400, k = 10, nl = 1.600000e+01
312: n = 400, k = 10, nl = 1.600000e+01
313: n = 400, k = 10, nl = 1.600000e+01
314: n = 400, k = 10, nl = 1.600000e+01
315: n = 400, k = 10, nl = 1.600000e+01
316: n = 400, k = 10, nl = 1.600000e+01
317: n = 400, k = 10, nl = 1.600000e+01
318: n = 400, k = 10, nl = 1.600000e+01
319: n = 400, k = 10, nl = 1.600000e+01
320: n = 400, k = 10, nl = 1.600000e+01
321: n = 400, k = 15, nl = 2.000000e+00
322: n = 400, k = 15, nl = 2.000000e+00
323: n = 400, k = 15, nl = 2.000000e+00
324: n = 400, k = 15, nl = 2.000000e+00
325: n = 400, k = 15, nl = 2.000000e+00
326: n = 400, k = 15, nl = 2.000000e+00
327: n = 400, k = 15, nl = 2.000000e+00
328: n = 400, k = 15, nl = 2.000000e+00
329: n = 400, k = 15, nl = 2.000000e+00
330: n = 400, k = 15, nl = 2.000000e+00
331: n = 400, k = 15, nl = 4.000000e+00
332: n = 400, k = 15, nl = 4.000000e+00
333: n = 400, k = 15, nl = 4.000000e+00
334: n = 400, k = 15, nl = 4.000000e+00
335: n = 400, k = 15, nl = 4.000000e+00
336: n = 400, k = 15, nl = 4.000000e+00
337: n = 400, k = 15, nl = 4.000000e+00
338: n = 400, k = 15, nl = 4.000000e+00
339: n = 400, k = 15, nl = 4.000000e+00
340: n = 400, k = 15, nl = 4.000000e+00
341: n = 400, k = 15, nl = 8.000000e+00
342: n = 400, k = 15, nl = 8.000000e+00
343: n = 400, k = 15, nl = 8.000000e+00
344: n = 400, k = 15, nl = 8.000000e+00
345: n = 400, k = 15, nl = 8.000000e+00
346: n = 400, k = 15, nl = 8.000000e+00
347: n = 400, k = 15, nl = 8.000000e+00
348: n = 400, k = 15, nl = 8.000000e+00
349: n = 400, k = 15, nl = 8.000000e+00
350: n = 400, k = 15, nl = 8.000000e+00
351: n = 400, k = 15, nl = 1.600000e+01
352: n = 400, k = 15, nl = 1.600000e+01
353: n = 400, k = 15, nl = 1.600000e+01
354: n = 400, k = 15, nl = 1.600000e+01
355: n = 400, k = 15, nl = 1.600000e+01
