ast
random
n = 100, k = 5, nl = 2, z_opt = 1.247993
n = 100, k = 5, nl = 4, z_opt = 1.108091
n = 100, k = 5, nl = 8, z_opt = 0.963081
n = 100, k = 5, nl = 16, z_opt = 1.190189
n = 100, k = 10, nl = 2, z_opt = 0.475701
n = 100, k = 10, nl = 4, z_opt = 0.670293
n = 100, k = 10, nl = 8, z_opt = 1.075811
n = 100, k = 10, nl = 16, z_opt = 1.210372
n = 100, k = 15, nl = 2, z_opt = 0.856837
n = 100, k = 15, nl = 4, z_opt = 1.255641
n = 100, k = 15, nl = 8, z_opt = 0.702963
n = 100, k = 15, nl = 16, z_opt = 1.042871
n = 200, k = 5, nl = 2, z_opt = 0.656282
n = 200, k = 5, nl = 4, z_opt = 0.970709
n = 200, k = 5, nl = 8, z_opt = 0.772776
n = 200, k = 5, nl = 16, z_opt = 1.057228
n = 200, k = 10, nl = 2, z_opt = 0.681172
n = 200, k = 10, nl = 4, z_opt = 0.943644
n = 200, k = 10, nl = 8, z_opt = 0.441472
n = 200, k = 10, nl = 16, z_opt = 0.830632
n = 200, k = 15, nl = 2, z_opt = 0.713760
n = 200, k = 15, nl = 4, z_opt = 0.452936
n = 200, k = 15, nl = 8, z_opt = 0.917475
n = 200, k = 15, nl = 16, z_opt = 1.078968
n = 400, k = 5, nl = 2, z_opt = 0.796403
n = 400, k = 5, nl = 4, z_opt = 0.485216
n = 400, k = 5, nl = 8, z_opt = 0.886822
n = 400, k = 5, nl = 16, z_opt = 1.343958
n = 400, k = 10, nl = 2, z_opt = 1.064600
n = 400, k = 10, nl = 4, z_opt = 0.861974
n = 400, k = 10, nl = 8, z_opt = 0.435821
n = 400, k = 10, nl = 16, z_opt = 0.975251
n = 400, k = 15, nl = 2, z_opt = 0.621832
n = 400, k = 15, nl = 4, z_opt = 0.592622
n = 400, k = 15, nl = 8, z_opt = 0.813517
n = 400, k = 15, nl = 16, z_opt = 0.477569
n = 800, k = 5, nl = 2, z_opt = 0.974065
n = 800, k = 5, nl = 4, z_opt = 0.506147
n = 800, k = 5, nl = 8, z_opt = 0.777152
n = 800, k = 5, nl = 16, z_opt = 1.072302
n = 800, k = 10, nl = 2, z_opt = 0.858244
n = 800, k = 10, nl = 4, z_opt = 0.857390
n = 800, k = 10, nl = 8, z_opt = 0.572232
n = 800, k = 10, nl = 16, z_opt = 0.968934
n = 800, k = 15, nl = 2, z_opt = 1.160099
n = 800, k = 15, nl = 4, z_opt = 0.836112
n = 800, k = 15, nl = 8, z_opt = 1.101734
n = 800, k = 15, nl = 16, z_opt = 0.661214
ast
equispaced
n = 100, k = 5, nl = 2, z_opt = 1.567529
n = 100, k = 5, nl = 4, z_opt = 1.439134
n = 100, k = 5, nl = 8, z_opt = 1.661944
n = 100, k = 5, nl = 16, z_opt = 1.282107
n = 100, k = 10, nl = 2, z_opt = 1.990140
n = 100, k = 10, nl = 4, z_opt = 1.730648
n = 100, k = 10, nl = 8, z_opt = 1.095147
n = 100, k = 10, nl = 16, z_opt = 1.487009
n = 100, k = 15, nl = 2, z_opt = 1.517274
n = 100, k = 15, nl = 4, z_opt = 1.907544
n = 100, k = 15, nl = 8, z_opt = 1.430050
n = 100, k = 15, nl = 16, z_opt = 1.745497
