ast
random
n = 100, k = 5, nl = 2, ratio = 0.930342
n = 100, k = 5, nl = 4, ratio = 0.897176
n = 100, k = 5, nl = 8, ratio = 0.894048
n = 100, k = 5, nl = 16, ratio = 0.940034
n = 100, k = 10, nl = 2, ratio = 0.893211
n = 100, k = 10, nl = 4, ratio = 0.956496
n = 100, k = 10, nl = 8, ratio = 1.157881
n = 100, k = 10, nl = 16, ratio = 0.945207
n = 100, k = 15, nl = 2, ratio = 0.911731
n = 100, k = 15, nl = 4, ratio = 1.164355
n = 100, k = 15, nl = 8, ratio = 0.950894
n = 100, k = 15, nl = 16, ratio = 0.885538
n = 200, k = 5, nl = 2, ratio = 0.930497
n = 200, k = 5, nl = 4, ratio = 0.869176
n = 200, k = 5, nl = 8, ratio = 0.906682
n = 200, k = 5, nl = 16, ratio = 0.924664
n = 200, k = 10, nl = 2, ratio = 0.925203
n = 200, k = 10, nl = 4, ratio = 0.995772
n = 200, k = 10, nl = 8, ratio = 0.871673
n = 200, k = 10, nl = 16, ratio = 0.904006
n = 200, k = 15, nl = 2, ratio = 0.882048
n = 200, k = 15, nl = 4, ratio = 0.873398
n = 200, k = 15, nl = 8, ratio = 0.904116
n = 200, k = 15, nl = 16, ratio = 0.881596
n = 400, k = 5, nl = 2, ratio = 0.942350
n = 400, k = 5, nl = 4, ratio = 0.896716
n = 400, k = 5, nl = 8, ratio = 0.873996
n = 400, k = 5, nl = 16, ratio = 0.872919
n = 400, k = 10, nl = 2, ratio = 0.948489
n = 400, k = 10, nl = 4, ratio = 0.896690
n = 400, k = 10, nl = 8, ratio = 0.864639
n = 400, k = 10, nl = 16, ratio = 0.912584
n = 400, k = 15, nl = 2, ratio = 0.975384
n = 400, k = 15, nl = 4, ratio = 0.880554
n = 400, k = 15, nl = 8, ratio = 0.923430
n = 400, k = 15, nl = 16, ratio = 0.897911
n = 800, k = 5, nl = 2, ratio = 0.906070
n = 800, k = 5, nl = 4, ratio = 0.878089
n = 800, k = 5, nl = 8, ratio = 0.915827
n = 800, k = 5, nl = 16, ratio = 0.893115
n = 800, k = 10, nl = 2, ratio = 0.887708
n = 800, k = 10, nl = 4, ratio = 0.868699
n = 800, k = 10, nl = 8, ratio = 0.948157
n = 800, k = 10, nl = 16, ratio = 0.897268
n = 800, k = 15, nl = 2, ratio = 0.843923
n = 800, k = 15, nl = 4, ratio = 0.898597
n = 800, k = 15, nl = 8, ratio = 0.887207
n = 800, k = 15, nl = 16, ratio = 0.925335
ast
equispaced
n = 100, k = 5, nl = 2, ratio = 1.012582
n = 100, k = 5, nl = 4, ratio = 1.226240
n = 100, k = 5, nl = 8, ratio = 0.973991
n = 100, k = 5, nl = 16, ratio = 0.913176
n = 100, k = 10, nl = 2, ratio = 0.931562
n = 100, k = 10, nl = 4, ratio = 1.116439
n = 100, k = 10, nl = 8, ratio = 0.917269
n = 100, k = 10, nl = 16, ratio = 0.994536
n = 100, k = 15, nl = 2, ratio = 0.965798
n = 100, k = 15, nl = 4, ratio = 1.227696
n = 100, k = 15, nl = 8, ratio = 0.916199
n = 100, k = 15, nl = 16, ratio = 1.014474
n = 200, k = 5, nl = 2, ratio = 1.067158
n = 200, k = 5, nl = 4, ratio = 0.945843
n = 200, k = 5, nl = 8, ratio = 0.932494
n = 200, k = 5, nl = 16, ratio = 0.902922
n = 200, k = 10, nl = 2, ratio = 1.008516
n = 200, k = 10, nl = 4, ratio = 1.205352
n = 200, k = 10, nl = 8, ratio = 0.930377
n = 200, k = 10, nl = 16, ratio = 0.974822
n = 200, k = 15, nl = 2, ratio = 0.951421
n = 200, k = 15, nl = 4, ratio = 0.974106
n = 200, k = 15, nl = 8, ratio = 0.974898
n = 200, k = 15, nl = 16, ratio = 0.934981
n = 400, k = 5, nl = 2, ratio = 0.924032
n = 400, k = 5, nl = 4, ratio = 1.226698
n = 400, k = 5, nl = 8, ratio = 0.973451
n = 400, k = 5, nl = 16, ratio = 0.947704
n = 400, k = 10, nl = 2, ratio = 0.950742
n = 400, k = 10, nl = 4, ratio = 1.234096
n = 400, k = 10, nl = 8, ratio = 0.932300
n = 400, k = 10, nl = 16, ratio = 0.971478
n = 400, k = 15, nl = 2, ratio = 1.231479
n = 400, k = 15, nl = 4, ratio = 0.901624
n = 400, k = 15, nl = 8, ratio = 0.917611
n = 400, k = 15, nl = 16, ratio = 0.924853
n = 800, k = 5, nl = 2, ratio = 1.057170
n = 800, k = 5, nl = 4, ratio = 0.949649
n = 800, k = 5, nl = 8, ratio = 0.973648
n = 800, k = 5, nl = 16, ratio = 0.930910
n = 800, k = 10, nl = 2, ratio = 1.063395
n = 800, k = 10, nl = 4, ratio = 0.922950
n = 800, k = 10, nl = 8, ratio = 0.952586
n = 800, k = 10, nl = 16, ratio = 0.928676
n = 800, k = 15, nl = 2, ratio = 1.230634
n = 800, k = 15, nl = 4, ratio = 0.918683
n = 800, k = 15, nl = 8, ratio = 0.987825
n = 800, k = 15, nl = 16, ratio = 0.944522
dast
random
n = 100, k = 5, nl = 2, ratio = 0.825422
n = 100, k = 5, nl = 4, ratio = 0.834246
n = 100, k = 5, nl = 8, ratio = 0.877134
n = 100, k = 5, nl = 16, ratio = 1.194341
n = 100, k = 10, nl = 2, ratio = 0.941537
n = 100, k = 10, nl = 4, ratio = 0.897862
n = 100, k = 10, nl = 8, ratio = 0.859318
n = 100, k = 10, nl = 16, ratio = 0.899716
n = 100, k = 15, nl = 2, ratio = 0.939017
n = 100, k = 15, nl = 4, ratio = 0.883857
n = 100, k = 15, nl = 8, ratio = 1.033019
n = 100, k = 15, nl = 16, ratio = 1.012130
n = 200, k = 5, nl = 2, ratio = 0.865717
n = 200, k = 5, nl = 4, ratio = 0.889289
n = 200, k = 5, nl = 8, ratio = 0.895038
n = 200, k = 5, nl = 16, ratio = 1.067875
n = 200, k = 10, nl = 2, ratio = 0.962180
n = 200, k = 10, nl = 4, ratio = 0.888207
n = 200, k = 10, nl = 8, ratio = 0.873696
n = 200, k = 10, nl = 16, ratio = 0.921724
n = 200, k = 15, nl = 2, ratio = 0.908321
n = 200, k = 15, nl = 4, ratio = 0.946823
n = 200, k = 15, nl = 8, ratio = 1.042327
n = 200, k = 15, nl = 16, ratio = 0.911526
n = 400, k = 5, nl = 2, ratio = 0.933178
n = 400, k = 5, nl = 4, ratio = 0.780688
n = 400, k = 5, nl = 8, ratio = 0.843968
n = 400, k = 5, nl = 16, ratio = 0.935085
n = 400, k = 10, nl = 2, ratio = 0.880811
n = 400, k = 10, nl = 4, ratio = 0.919886
n = 400, k = 10, nl = 8, ratio = 1.100771
n = 400, k = 10, nl = 16, ratio = 0.896370
n = 400, k = 15, nl = 2, ratio = 0.936131
n = 400, k = 15, nl = 4, ratio = 0.821514
n = 400, k = 15, nl = 8, ratio = 1.139308
n = 400, k = 15, nl = 16, ratio = 0.907292
n = 800, k = 5, nl = 2, ratio = 0.888564
n = 800, k = 5, nl = 4, ratio = 0.830628
n = 800, k = 5, nl = 8, ratio = 0.868259
n = 800, k = 5, nl = 16, ratio = 0.898559
n = 800, k = 10, nl = 2, ratio = 0.826406
n = 800, k = 10, nl = 4, ratio = 0.931108
n = 800, k = 10, nl = 8, ratio = 0.928477
n = 800, k = 10, nl = 16, ratio = 0.932188
n = 800, k = 15, nl = 2, ratio = 0.887463
n = 800, k = 15, nl = 4, ratio = 0.802813
n = 800, k = 15, nl = 8, ratio = 1.104270
n = 800, k = 15, nl = 16, ratio = 0.922181
dast
equispaced
n = 100, k = 5, nl = 2, ratio = 1.013351
n = 100, k = 5, nl = 4, ratio = 0.996389
n = 100, k = 5, nl = 8, ratio = 0.778842
n = 100, k = 5, nl = 16, ratio = 0.962331
n = 100, k = 10, nl = 2, ratio = 0.800442
n = 100, k = 10, nl = 4, ratio = 1.061228
n = 100, k = 10, nl = 8, ratio = 1.192717
n = 100, k = 10, nl = 16, ratio = 0.863908
n = 100, k = 15, nl = 2, ratio = 1.251567
n = 100, k = 15, nl = 4, ratio = 0.947037
n = 100, k = 15, nl = 8, ratio = 0.883271
n = 100, k = 15, nl = 16, ratio = 1.049361
n = 200, k = 5, nl = 2, ratio = 0.887384
n = 200, k = 5, nl = 4, ratio = 1.193726
n = 200, k = 5, nl = 8, ratio = 0.879178
n = 200, k = 5, nl = 16, ratio = 1.251702
n = 200, k = 10, nl = 2, ratio = 0.854767
n = 200, k = 10, nl = 4, ratio = 0.858871
n = 200, k = 10, nl = 8, ratio = 1.214592
n = 200, k = 10, nl = 16, ratio = 0.695256
n = 200, k = 15, nl = 2, ratio = 0.881535
